category_order,category,category_name_ko,item_order,base_id,item_name_ko,grade_order,grade,grade_name_ko,relative_path
1,CER,도자기,1,BASE-CER-01,청화 약탕기,1,COMMON,일반,01_CER_도자기/01_BASE-CER-01_청화_약탕기/01_COMMON_일반/BASE-CER-01_COMMON.png
1,CER,도자기,1,BASE-CER-01,청화 약탕기,2,RARE,레어,01_CER_도자기/01_BASE-CER-01_청화_약탕기/02_RARE_레어/BASE-CER-01_RARE.png
1,CER,도자기,1,BASE-CER-01,청화 약탕기,3,EPIC,에픽,01_CER_도자기/01_BASE-CER-01_청화_약탕기/03_EPIC_에픽/BASE-CER-01_EPIC.png
1,CER,도자기,1,BASE-CER-01,청화 약탕기,4,LEGENDARY,전설,01_CER_도자기/01_BASE-CER-01_청화_약탕기/04_LEGENDARY_전설/BASE-CER-01_LEGENDARY.png
1,CER,도자기,2,BASE-CER-02,청록 뚜껑 소금단지,1,COMMON,일반,01_CER_도자기/02_BASE-CER-02_청록_뚜껑_소금단지/01_COMMON_일반/BASE-CER-02_COMMON.png
1,CER,도자기,2,BASE-CER-02,청록 뚜껑 소금단지,2,RARE,레어,01_CER_도자기/02_BASE-CER-02_청록_뚜껑_소금단지/02_RARE_레어/BASE-CER-02_RARE.png
1,CER,도자기,2,BASE-CER-02,청록 뚜껑 소금단지,3,EPIC,에픽,01_CER_도자기/02_BASE-CER-02_청록_뚜껑_소금단지/03_EPIC_에픽/BASE-CER-02_EPIC.png
1,CER,도자기,2,BASE-CER-02,청록 뚜껑 소금단지,4,LEGENDARY,전설,01_CER_도자기/02_BASE-CER-02_청록_뚜껑_소금단지/04_LEGENDARY_전설/BASE-CER-02_LEGENDARY.png
1,CER,도자기,3,BASE-CER-03,제비문 찻잔 한 쌍,1,COMMON,일반,01_CER_도자기/03_BASE-CER-03_제비문_찻잔_한_쌍/01_COMMON_일반/BASE-CER-03_COMMON.png
1,CER,도자기,3,BASE-CER-03,제비문 찻잔 한 쌍,2,RARE,레어,01_CER_도자기/03_BASE-CER-03_제비문_찻잔_한_쌍/02_RARE_레어/BASE-CER-03_RARE.png
1,CER,도자기,3,BASE-CER-03,제비문 찻잔 한 쌍,3,EPIC,에픽,01_CER_도자기/03_BASE-CER-03_제비문_찻잔_한_쌍/03_EPIC_에픽/BASE-CER-03_EPIC.png
1,CER,도자기,3,BASE-CER-03,제비문 찻잔 한 쌍,4,LEGENDARY,전설,01_CER_도자기/03_BASE-CER-03_제비문_찻잔_한_쌍/04_LEGENDARY_전설/BASE-CER-03_LEGENDARY.png
1,CER,도자기,4,BASE-CER-04,쌍어문 청록 화병,1,COMMON,일반,01_CER_도자기/04_BASE-CER-04_쌍어문_청록_화병/01_COMMON_일반/BASE-CER-04_COMMON.png
1,CER,도자기,4,BASE-CER-04,쌍어문 청록 화병,2,RARE,레어,01_CER_도자기/04_BASE-CER-04_쌍어문_청록_화병/02_RARE_레어/BASE-CER-04_RARE.png
1,CER,도자기,4,BASE-CER-04,쌍어문 청록 화병,3,EPIC,에픽,01_CER_도자기/04_BASE-CER-04_쌍어문_청록_화병/03_EPIC_에픽/BASE-CER-04_EPIC.png
1,CER,도자기,4,BASE-CER-04,쌍어문 청록 화병,4,LEGENDARY,전설,01_CER_도자기/04_BASE-CER-04_쌍어문_청록_화병/04_LEGENDARY_전설/BASE-CER-04_LEGENDARY.png
1,CER,도자기,5,BASE-CER-05,황동뚜껑 육각 항아리,1,COMMON,일반,01_CER_도자기/05_BASE-CER-05_황동뚜껑_육각_항아리/01_COMMON_일반/BASE-CER-05_COMMON.png
1,CER,도자기,5,BASE-CER-05,황동뚜껑 육각 항아리,2,RARE,레어,01_CER_도자기/05_BASE-CER-05_황동뚜껑_육각_항아리/02_RARE_레어/BASE-CER-05_RARE.png
1,CER,도자기,5,BASE-CER-05,황동뚜껑 육각 항아리,3,EPIC,에픽,01_CER_도자기/05_BASE-CER-05_황동뚜껑_육각_항아리/03_EPIC_에픽/BASE-CER-05_EPIC.png
1,CER,도자기,5,BASE-CER-05,황동뚜껑 육각 항아리,4,LEGENDARY,전설,01_CER_도자기/05_BASE-CER-05_황동뚜껑_육각_항아리/04_LEGENDARY_전설/BASE-CER-05_LEGENDARY.png
1,CER,도자기,6,BASE-CER-06,과실문 주전자,1,COMMON,일반,01_CER_도자기/06_BASE-CER-06_과실문_주전자/01_COMMON_일반/BASE-CER-06_COMMON.png
1,CER,도자기,6,BASE-CER-06,과실문 주전자,2,RARE,레어,01_CER_도자기/06_BASE-CER-06_과실문_주전자/02_RARE_레어/BASE-CER-06_RARE.png
1,CER,도자기,6,BASE-CER-06,과실문 주전자,3,EPIC,에픽,01_CER_도자기/06_BASE-CER-06_과실문_주전자/03_EPIC_에픽/BASE-CER-06_EPIC.png
1,CER,도자기,6,BASE-CER-06,과실문 주전자,4,LEGENDARY,전설,01_CER_도자기/06_BASE-CER-06_과실문_주전자/04_LEGENDARY_전설/BASE-CER-06_LEGENDARY.png
1,CER,도자기,7,BASE-CER-07,진수 기념 대접,1,COMMON,일반,01_CER_도자기/07_BASE-CER-07_진수_기념_대접/01_COMMON_일반/BASE-CER-07_COMMON.png
1,CER,도자기,7,BASE-CER-07,진수 기념 대접,2,RARE,레어,01_CER_도자기/07_BASE-CER-07_진수_기념_대접/02_RARE_레어/BASE-CER-07_RARE.png
1,CER,도자기,7,BASE-CER-07,진수 기념 대접,3,EPIC,에픽,01_CER_도자기/07_BASE-CER-07_진수_기념_대접/03_EPIC_에픽/BASE-CER-07_EPIC.png
1,CER,도자기,7,BASE-CER-07,진수 기념 대접,4,LEGENDARY,전설,01_CER_도자기/07_BASE-CER-07_진수_기념_대접/04_LEGENDARY_전설/BASE-CER-07_LEGENDARY.png
1,CER,도자기,8,BASE-CER-08,항해도 월백유 매병,1,COMMON,일반,01_CER_도자기/08_BASE-CER-08_항해도_월백유_매병/01_COMMON_일반/BASE-CER-08_COMMON.png
1,CER,도자기,8,BASE-CER-08,항해도 월백유 매병,2,RARE,레어,01_CER_도자기/08_BASE-CER-08_항해도_월백유_매병/02_RARE_레어/BASE-CER-08_RARE.png
1,CER,도자기,8,BASE-CER-08,항해도 월백유 매병,3,EPIC,에픽,01_CER_도자기/08_BASE-CER-08_항해도_월백유_매병/03_EPIC_에픽/BASE-CER-08_EPIC.png
1,CER,도자기,8,BASE-CER-08,항해도 월백유 매병,4,LEGENDARY,전설,01_CER_도자기/08_BASE-CER-08_항해도_월백유_매병/04_LEGENDARY_전설/BASE-CER-08_LEGENDARY.png
1,CER,도자기,9,BASE-CER-09,삼색 사자손잡이 용기,1,COMMON,일반,01_CER_도자기/09_BASE-CER-09_삼색_사자손잡이_용기/01_COMMON_일반/BASE-CER-09_COMMON.png
1,CER,도자기,9,BASE-CER-09,삼색 사자손잡이 용기,2,RARE,레어,01_CER_도자기/09_BASE-CER-09_삼색_사자손잡이_용기/02_RARE_레어/BASE-CER-09_RARE.png
1,CER,도자기,9,BASE-CER-09,삼색 사자손잡이 용기,3,EPIC,에픽,01_CER_도자기/09_BASE-CER-09_삼색_사자손잡이_용기/03_EPIC_에픽/BASE-CER-09_EPIC.png
1,CER,도자기,9,BASE-CER-09,삼색 사자손잡이 용기,4,LEGENDARY,전설,01_CER_도자기/09_BASE-CER-09_삼색_사자손잡이_용기/04_LEGENDARY_전설/BASE-CER-09_LEGENDARY.png
1,CER,도자기,10,BASE-CER-10,푸른 동백 대형병,1,COMMON,일반,01_CER_도자기/10_BASE-CER-10_푸른_동백_대형병/01_COMMON_일반/BASE-CER-10_COMMON.png
1,CER,도자기,10,BASE-CER-10,푸른 동백 대형병,2,RARE,레어,01_CER_도자기/10_BASE-CER-10_푸른_동백_대형병/02_RARE_레어/BASE-CER-10_RARE.png
1,CER,도자기,10,BASE-CER-10,푸른 동백 대형병,3,EPIC,에픽,01_CER_도자기/10_BASE-CER-10_푸른_동백_대형병/03_EPIC_에픽/BASE-CER-10_EPIC.png
1,CER,도자기,10,BASE-CER-10,푸른 동백 대형병,4,LEGENDARY,전설,01_CER_도자기/10_BASE-CER-10_푸른_동백_대형병/04_LEGENDARY_전설/BASE-CER-10_LEGENDARY.png
2,CLK,시계,1,BASE-CLK-01,접이식 탁상시계,1,COMMON,일반,02_CLK_시계/01_BASE-CLK-01_접이식_탁상시계/01_COMMON_일반/BASE-CLK-01_COMMON.png
2,CLK,시계,1,BASE-CLK-01,접이식 탁상시계,2,RARE,레어,02_CLK_시계/01_BASE-CLK-01_접이식_탁상시계/02_RARE_레어/BASE-CLK-01_RARE.png
2,CLK,시계,1,BASE-CLK-01,접이식 탁상시계,3,EPIC,에픽,02_CLK_시계/01_BASE-CLK-01_접이식_탁상시계/03_EPIC_에픽/BASE-CLK-01_EPIC.png
2,CLK,시계,1,BASE-CLK-01,접이식 탁상시계,4,LEGENDARY,전설,02_CLK_시계/01_BASE-CLK-01_접이식_탁상시계/04_LEGENDARY_전설/BASE-CLK-01_LEGENDARY.png
2,CLK,시계,2,BASE-CLK-02,구리 종 벽시계,1,COMMON,일반,02_CLK_시계/02_BASE-CLK-02_구리_종_벽시계/01_COMMON_일반/BASE-CLK-02_COMMON.png
